Date,utilization,High,Low,Close,Adj Close,Volume
1/2/1962,7.374124,7.374124,7.291268,7.291268,1.57341,407940
1/3/1962,7.291268,7.355003,7.291268,7.355003,1.587165,305955
1/4/1962,7.355003,7.355003,7.278521,7.281708,1.571347,274575
1/5/1962,7.272148,7.272148,7.125558,7.138305,1.540401,384405
1/8/1962,7.131931,7.131931,6.9471,7.004461,1.511519,572685
1/9/1962,7.036329,7.176546,7.036329,7.087317,1.529398,517770
1/10/1962,7.100064,7.131931,7.100064,7.100064,1.532151,313800
1/11/1962,7.119184,7.176546,7.119184,7.176546,1.548654,337335
1/12/1962,7.189293,7.24028,7.189293,7.189293,1.551404,462855
1/15/1962,7.214786,7.237094,7.214786,7.22116,1.558282,266730
1/16/1962,7.214786,7.214786,7.144678,7.144678,1.541777,266730
1/17/1962,7.112811,7.112811,7.010835,7.029955,1.517019,439320
1/18/1962,7.049076,7.119184,7.049076,7.049076,1.521147,392250
1/19/1962,7.049076,7.068196,6.972594,7.055449,1.522522,423630
1/22/1962,7.055449,7.125558,7.036329,7.042702,1.519771,290265
1/23/1962,7.039516,7.049076,6.959847,6.972594,1.504642,392250
1/24/1962,6.972594,7.010835,6.93754,7.010835,1.512894,431475
1/25/1962,7.010835,7.068196,6.921606,6.934353,1.49639,337335
1/26/1962,6.934353,6.959847,6.896112,6.899299,1.488827,258885
1/29/1962,6.899299,6.9471,6.781389,6.781389,1.463381,611910
1/30/1962,6.781389,6.81963,6.695347,6.695347,1.444813,776655
1/31/1962,6.762269,6.908859,6.762269,6.908859,1.490889,800190
2/1/1962,6.978967,7.087317,6.978967,7.068196,1.525273,674670
2/2/1962,7.068196,7.112811,7.036329,7.112811,1.5349,533460
2/5/1962,7.112811,7.112811,6.985341,7.023582,1.515644,329490
2/6/1962,7.023582,7.036329,6.998088,7.029955,1.517225,274575
2/7/1962,7.036329,7.07457,7.036329,7.036329,1.518602,266730
2/8/1962,7.036329,7.07457,7.036329,7.042702,1.519978,23535
2/9/1962,7.042702,7.09369,7.010835,7.09369,1.530982,455010
2/12/1962,7.09369,7.151052,7.087317,7.100064,1.53236,298110
2/13/1962,7.100064,7.106437,6.985341,6.985341,1.507598,274575
2/14/1962,6.985341,7.010835,6.959847,6.972594,1.504847,219660
2/15/1962,6.972594,6.972594,6.940727,6.9471,1.499346,243195
2/16/1962,6.9471,6.972594,6.940727,6.940727,1.49797,235350
2/19/1962,6.940727,6.972594,6.857871,6.870618,1.482838,298110
2/20/1962,6.873805,6.908859,6.873805,6.873805,1.483526,305955
2/21/1962,6.873805,6.921606,6.822817,6.822817,1.472523,384405
2/23/1962,6.832377,6.857871,6.832377,6.845124,1.477336,305955
2/26/1962,6.845124,6.851498,6.806883,6.81963,1.471834,313800
2/27/1962,6.81963,6.876992,6.781389,6.832377,1.474585,368715
2/28/1962,6.832377,6.845124,6.794136,6.845124,1.477336,282420
3/1/1962,6.870618,6.92798,6.870618,6.92798,1.495219,298110
3/2/1962,6.985341,7.023582,6.985341,6.985341,1.507598,258885
3/5/1962,6.985341,6.985341,6.934353,6.959847,1.502096,376560
3/6/1962,6.959847,6.991714,6.9471,6.966221,1.503472,196125
3/7/1962,6.966221,6.988528,6.9471,6.988528,1.508286,133365
3/8/1962,6.988528,7.004461,6.9471,7.004461,1.511726,196125
3/9/1962,7.010835,7.049076,7.010835,7.049076,1.521354,305955
3/12/1962,7.049076,7.068196,7.023582,7.042702,1.519978,298110
3/13/1962,7.042702,7.042702,7.010835,7.036329,1.518602,133365
3/14/1962,7.036329,7.055449,7.010835,7.023582,1.51585,211815
3/15/1962,7.023582,7.061823,7.010835,7.010835,1.513101,258885
3/16/1962,7.010835,7.042702,7.010835,7.042702,1.519978,172590
3/19/1962,7.055449,7.087317,7.055449,7.061823,1.524106,392250
